MUNICIPALITY,BIOME,STATE,COUNTRY,SOY_EQUIVALENT_TONS
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,Italy,15.0115015555758
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,Spain,809.956029447674
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,France,414.959875154463
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,Netherlands,162.525669386319
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,Spain,47.8708828511487
Alta Floresta,AMAZONIA,MATO GROSSO,Portugal,1087.00837342034
Alta Floresta,AMAZONIA,MATO GROSSO,Spain,1067.84216272504
Alta Floresta,AMAZONIA,MATO GROSSO,Netherlands,237.165463291711
Alta Floresta,AMAZONIA,MATO GROSSO,Portugal,2917.54237206094
Alta Floresta,AMAZONIA,MATO GROSSO,Spain,3379.03905007076
Alto Boa Vista,AMAZONIA,MATO GROSSO,Germany,1.84083762562515
Alto Boa Vista,AMAZONIA,MATO GROSSO,Spain,41.759328197162
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,22.0340563072163
Alto Boa Vista,AMAZONIA,MATO GROSSO,Germany,371.199039995755
Alto Boa Vista,AMAZONIA,MATO GROSSO,Portugal,880.081733366603
Alto Boa Vista,AMAZONIA,MATO GROSSO,Spain,435.814824209892
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,124.326432887356
Alto Boa Vista,AMAZONIA,MATO GROSSO,Italy,3.66700722236085
Alto Boa Vista,AMAZONIA,MATO GROSSO,Spain,1.83350361118042
Alto Boa Vista,AMAZONIA,MATO GROSSO,Germany,549.724646371193
Alto Boa Vista,AMAZONIA,MATO GROSSO,France,330.030650012476
Alto Boa Vista,AMAZONIA,MATO GROSSO,France,55.0051083354127
Alto Boa Vista,AMAZONIA,MATO GROSSO,Spain,91.6751805590212
Alto Boa Vista,AMAZONIA,MATO GROSSO,Italy,13.9346274449712
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,18.3350361118042
Alto Boa Vista,AMAZONIA,MATO GROSSO,Spain,1088.3677435967
Alto Boa Vista,AMAZONIA,MATO GROSSO,France,49.974524477417
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,73.081217067246
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,97.1756913925625
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,58.6721155577736
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,27.8692548899424
Alto Boa Vista,AMAZONIA,MATO GROSSO,Germany,823.657267058181
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,57.1396349559936
Alto Boa Vista,AMAZONIA,MATO GROSSO,Germany,110.976827570071
