simuid;soy
843;0.0
856;0.0
857;0.0
872;0.0
873;0.0
874;0.0
875;0.0
886;0.0
887;0.0
888;0.0
899;0.0
900;0.0
908;0.0
909;0.0
917;0.0
918;0.0
931;0.0
943;0.0
944;0.0
957;0.0
958;0.0
985;0.0
986;0.0
987;0.0
988;4.2764826972594
989;4.2777226016608
990;2.3732759957119
991;0.0
1006;0.0
1007;0.0
1008;0.0
1009;0.0
1010;0.0
1011;0.0
1012;0.0
1013;0.0
1014;0.0
1015;7.4026503894148
1016;12.348819845876
1017;5.2182338190621
1034;0.0
1035;0.0
1036;0.0
1037;0.0
1038;0.0
1039;0.0
1040;0.0
1041;0.0
1042;0.0
1043;0.0
1044;0.94970994818253
1045;1.7299852377895
1065;0.0
1066;0.0
1067;0.0
1068;0.0
1069;0.0
1070;0.0
1071;0.0
1092;0.0
1093;0.0
1094;0.0
1095;0.0
1096;0.0
1097;0.0
1117;0.0
1118;0.0
1119;0.0
1120;0.0
1139;0.0
1140;0.0
1141;0.0
1142;0.0
1161;0.0
1162;0.0
1163;0.0
1164;0.0
1181;0.0
1182;0.0
1183;0.0
1184;0.0
1185;0.0
1186;0.0
1204;0.0
1205;0.0
1206;0.0
1207;0.0
1208;0.0
1219;0.0
1220;0.0
1221;0.0
1222;0.0
1230;0.0
1231;0.0
1232;0.0
1248;0.0
1249;0.0
1250;0.0
1251;0.0
1252;0.0
1253;0.0
1261;0.0
1262;0.0
1263;0.0
1264;0.0
1270;0.0
1271;0.0
1272;0.0
1273;0.26490551970868
1274;0.0
1275;0.0
1276;0.0
1277;0.0
1278;0.0
1279;0.0
1280;0.0
1281;0.0
1282;0.0
1283;0.0
1284;0.0
1285;71.465901441694
1286;0.0
1287;0.0
1288;0.0
1289;0.0
1290;0.0
1291;0.0
1292;0.0
1293;3.0676437137464
1294;0.0
1295;0.0
1296;0.0
1297;0.0
1298;82.465770205382
1299;176.43112687933
1300;30.875383839162
1301;0.0
1302;0.0
1303;22.920270709999
1304;131.96935155722
1305;0.0097079013933835
1306;0.0
1307;0.0
1308;0.0
1309;196.98959943612
1310;2.0274095794283
1311;0.0
1312;0.0
1313;0.0
1314;0.0
1315;0.0
1316;0.0
1317;0.0
1318;49.861633798651
1319;786.97445301175
1320;1903.3202316155
1321;5552.6498203133
1322;2213.3380349418
1323;0.0
1324;0.0
1325;0
1326;0.0
1327;194.06452714972
1328;78.920413997947
1329;5653.9412939973
1330;3802.2727581193
1331;9768.5915303329
1332;3335.4806319841
1333;0.0
1334;0.0
1335;0.0
1336;0.0
1337;0.0
1338;0.0
1339;0.0
1340;1.2837375623696
1341;0.0
1342;1205.7466775876
1343;8759.0916909161
1344;9903.1731354258
1345;7585.2062020166
1346;0.0
1347;0.0
1348;0.0
1349;0.0
1350;0.0
1351;0.0
1352;0.0
1353;0.0
1354;103.70161967958
1355;1558.0225211831
1356;7308.1798695264
1357;1437.6397285202
1358;0.0
1359;1214.2630721696
1360;1647.646523719
1361;5684.0773496487
1362;736.32618858945
1363;813.91112088086
1364;5122.419068963
1365;547.6155642298
1366;571.49417487168
1367;730.37078476896
1368;2377.1691980375
1369;0.0
1370;0.0
1371;0.0
